# energy grid [eV]     ieps_x  ieps_y  ieps_z
#
    7.915831663    1.605156584    1.605156584    1.495748321
    7.935871743    1.602973231    1.602973231    1.494230702
    7.955911824    1.600800824    1.600800824    1.492718991
    7.975951904    1.598639294    1.598639294    1.491213165
    7.995991984    1.596488575    1.596488575    1.489713199
    8.016032064    1.594348599    1.594348599    1.488219071
    8.036072144    1.592219300    1.592219300    1.486730755
    8.056112224    1.590100610    1.590100611    1.485248228
    8.076152305    1.587992466    1.587992466    1.483771467
    8.096192385    1.585894801    1.585894801    1.482300447
    8.116232465    1.583807550    1.583807550    1.480835146
    8.136272545    1.581730650    1.581730650    1.479375539
    8.156312625    1.579664036    1.579664036    1.477921604
    8.176352705    1.577607646    1.577607646    1.476473317
    8.196392786    1.575561416    1.575561416    1.475030655
    8.216432866    1.573525283    1.573525283    1.473593594
    8.236472946    1.571499187    1.571499187    1.472162112
    8.256513026    1.569483065    1.569483065    1.470736185
    8.276553106    1.567476856    1.567476856    1.469315790
    8.296593186    1.565480499    1.565480499    1.467900904
    8.316633267    1.563493934    1.563493934    1.466491505
    8.336673347    1.561517102    1.561517102    1.465087569
    8.356713427    1.559549943    1.559549943    1.463689075
    8.376753507    1.557592397    1.557592397    1.462295998
    8.396793587    1.555644407    1.555644407    1.460908318
    8.416833667    1.553705914    1.553705914    1.459526010
    8.436873747    1.551776860    1.551776860    1.458149053
    8.456913828    1.549857189    1.549857189    1.456777424
    8.476953908    1.547946842    1.547946842    1.455411101
    8.496993988    1.546045765    1.546045765    1.454050062
    8.517034068    1.544153899    1.544153899    1.452694285
    8.537074148    1.542271191    1.542271191    1.451343747
    8.557114228    1.540397583    1.540397584    1.449998426
    8.577154309    1.538533023    1.538533023    1.448658302
    8.597194389    1.536677454    1.536677454    1.447323350
    8.617234469    1.534830823    1.534830823    1.445993551
    8.637274549    1.532993076    1.532993076    1.444668882
    8.657314629    1.531164159    1.531164159    1.443349321
    8.677354709    1.529344020    1.529344020    1.442034847
    8.697394790    1.527532606    1.527532606    1.440725439
    8.717434870    1.525729864    1.525729864    1.439421075
    8.737474950    1.523935743    1.523935743    1.438121734
    8.757515030    1.522150190    1.522150190    1.436827394
    8.777555110    1.520373156    1.520373156    1.435538034
    8.797595190    1.518604588    1.518604588    1.434253633
    8.817635271    1.516844437    1.516844437    1.432974171
    8.837675351    1.515092652    1.515092653    1.431699626
    8.857715431    1.513349184    1.513349184    1.430429977
    8.877755511    1.511613983    1.511613983    1.429165203
    8.897795591    1.509887000    1.509887000    1.427905284
    8.917835671    1.508168186    1.508168186    1.426650199
    8.937875752    1.506457493    1.506457493    1.425399928
    8.957915832    1.504754872    1.504754873    1.424154449
    8.977955912    1.503060277    1.503060277    1.422913743
    8.997995992    1.501373659    1.501373659    1.421677789
    9.018036072    1.499694972    1.499694972    1.420446567
    9.038076152    1.498024168    1.498024168    1.419220057
    9.058116232    1.496361202    1.496361202    1.417998239
    9.078156313    1.494706027    1.494706027    1.416781091
    9.098196393    1.493058597    1.493058597    1.415568596
    9.118236473    1.491418867    1.491418867    1.414360732
    9.138276553    1.489786792    1.489786792    1.413157480
    9.158316633    1.488162327    1.488162327    1.411958820
    9.178356713    1.486545427    1.486545427    1.410764732
    9.198396794    1.484936048    1.484936048    1.409575197
    9.218436874    1.483334147    1.483334147    1.408390196
    9.238476954    1.481739679    1.481739679    1.407209708
    9.258517034    1.480152601    1.480152601    1.406033715
    9.278557114    1.478572870    1.478572871    1.404862198
    9.298597194    1.477000444    1.477000444    1.403695136
    9.318637275    1.475435280    1.475435280    1.402532511
    9.338677355    1.473877336    1.473877336    1.401374304
    9.358717435    1.472326570    1.472326570    1.400220496
    9.378757515    1.470782940    1.470782940    1.399071067
    9.398797595    1.469246405    1.469246405    1.397926000
    9.418837675    1.467716925    1.467716925    1.396785275
    9.438877756    1.466194458    1.466194458    1.395648874
    9.458917836    1.464678964    1.464678964    1.394516778
    9.478957916    1.463170402    1.463170402    1.393388969
    9.498997996    1.461668733    1.461668734    1.392265427
    9.519038076    1.460173918    1.460173918    1.391146136
    9.539078156    1.458685917    1.458685917    1.390031075
    9.559118236    1.457204690    1.457204690    1.388920228
    9.579158317    1.455730199    1.455730199    1.387813577
    9.599198397    1.454262405    1.454262405    1.386711102
    9.619238477    1.452801271    1.452801271    1.385612786
    9.639278557    1.451346757    1.451346758    1.384518611
    9.659318637    1.449898827    1.449898827    1.383428559
    9.679358717    1.448457443    1.448457443    1.382342612
    9.699398798    1.447022566    1.447022566    1.381260754
    9.719438878    1.445594161    1.445594162    1.380182965
    9.739478958    1.444172191    1.444172191    1.379109229
    9.759519038    1.442756619    1.442756619    1.378039528
    9.779559118    1.441347408    1.441347408    1.376973845
    9.799599198    1.439944523    1.439944523    1.375912161
    9.819639279    1.438547928    1.438547928    1.374854461
    9.839679359    1.437157588    1.437157588    1.373800727
    9.859719439    1.435773466    1.435773466    1.372750941
    9.879759519    1.434395528    1.434395528    1.371705087
    9.899799599    1.433023740    1.433023740    1.370663148
    9.919839679    1.431658065    1.431658065    1.369625107
    9.939879760    1.430298471    1.430298471    1.368590946
    9.959919840    1.428944923    1.428944923    1.367560650
    9.979959920    1.427597386    1.427597386    1.366534201
   10.000000000    1.426255828    1.426255828    1.365511583
